I-16,knew-17,Harvey_Dent-18:recipient
<NULL>,survived-47,assault-49:recipient
<NULL>,knowing-15,strength-17:recipient
Bruce-1,be-4,<NULL>
Bruce-1,appears-2,<NULL>
Bane-31,mocks-34,tactics-37:recipient
<NULL>,prove-21,useless-22:object
Bruce-5,tries-8,diversions-10:recipient
<NULL>,trained-25,<NULL>
<NULL>,prove-21,useless-22:object
Bane-1,begins-2,<NULL>
<NULL>,breaking-7,head-18:attachment
<NULL>,breaking-7,cowl-10:recipient
Bane-1,beats-2,submission-5:modified_to
Bane-1,beats-2,Bruce-3:recipient
Bruce-9,established-11,base-14:recipient
Bruce-9,established-11,where-8:modifier
Bane-6,reveals-7,<NULL>
Bruce-2,lies-3,prone-4:object
Bane-28,set-30,base-34:recipient
Bane-28,set-30,Wayne_Enterprises-36:prep_underneath
Bane-28,set-30,up-31:verb_complement
<NULL>,hands-5,detonator-8:recipient
<NULL>,hands-5,him-6:recipient
Tumbler-20,falls-21,<NULL>
explosions-15,go-16,off-17:verb_complement
Bane-1,is-2,enemy-7:recipient
Bane-9,targets-10,Bruce_Wayne-11:recipient
Bane-9,targets-10,directly-12:modifier
Bane-9,uses-14,city-20:object
Bane-9,uses-14,resources-17:recipient
henchmen-2,capture-11,armory-14:recipient
henchmen-2,climb-3,up-4:verb_complement
henchmen-2,climb-3,ropes-5:recipient
henchmen-2,capture-11,armory-14:recipient
<NULL>,raid-7,Sciences-9:recipient
Bruce-16,engages-17,Bane-18:recipient
Bruce-16,engages-17,again-19:modifier
<NULL>,beaten-23,down-24:verb_complement
<NULL>,beaten-23,again-25:modifier
<NULL>,beaten-23,Bruce-16:recipient
Bane-1,brings-9,Bane-10:recipient
Bane-1,brings-9,brutally-12:modifier
Bane-1,lifts-2,Batman-3:recipient
Bane-1,tears-2,off-3:verb_complement
Bane-1,tears-2,section-6:recipient
Bane-1,tears-2,victorious-15:dependent
<NULL>,shocked-3,<NULL>
Selina-1,slinks-14,off-15:verb_complement
Kyle-5,sent-7,just-6:modifier
Kyle-5,sent-7,doom-12:attachment
Kyle-5,sent-7,Bruce-8:recipient
mercenaries-17,drag-21,Bruce-22:recipient
mercenaries-17,drag-21,away-23:modifier
mercenaries-17,grab-18,Bruce-19:recipient
scene-2,cuts-3,morning-7:attachment
Blake-1,knocks-2,<NULL>
Blake-32,spots-33,Selina-34:recipient
Blake-19,goes-20,city-23:modified_to
<NULL>,sitting-27,car-30:recipient
<NULL>,getting-35,cab-38:modified_to
Selina-10,boarding-11,pass-12:recipient
officer-3,asks-7,<NULL>
officer-3,see-9,<NULL>
officer-3,spots-4,Selina-5:recipient
<NULL>,punches-15,then-14:modifier
<NULL>,punches-15,cop-16:recipient
Selina-1,pretends-8,<NULL>
<NULL>,punches-15,then-14:modifier
<NULL>,punches-15,cop-16:recipient
Selina-1,check-10,purse-12:recipient
<NULL>,punches-15,then-14:modifier
<NULL>,punches-15,cop-16:recipient
Selina-1,hands-2,hat-6:recipient
<NULL>,flashing-21,badge-24:recipient
Kyle-2,walking-4,down-5:verb_complement
Kyle-2,walking-4,bridge-8:recipient
<NULL>,flashing-21,badge-24:recipient
Blake-10,comes-11,door-15:object
<NULL>,asking-10,Selina-11:recipient
Blake-1,talks-2,office-8:is_participant_in
Blake-1,talks-2,Selina-4:attachment
Selina-13,trying-15,why-12:modifier
Blake-1,is-2,<NULL>
Blake-1,determine-5,<NULL>
Selina-7,trying-9,<NULL>
<NULL>,given-12,<NULL>
Kyle-14,saw-15,what-13:recipient
Kyle-3,is-9,<NULL>
Kyle-3,'s-4,<NULL>
Selina-1,says-2,<NULL>
<NULL>,placed-7,prison-10:is_participant_in
<NULL>,placed-7,Kyle-1:recipient
<NULL>,arrested-4,then-3:modifier
<NULL>,arrested-4,Kyle-1:recipient
Bruce-3,wakes-4,fight-15:raw_material
Bruce-3,wakes-4,up-5:verb_complement
Bruce-3,wakes-4,Meanwhile-1:modifier
Bruce-3,wakes-4,prison-9:is_participant_in
Bruce-7,sees-8,standing-10:recipient
Bruce-2,regaining-4,consciousness-5:recipient
Bruce-6,kill-10,Bruce-11:recipient
Bruce-6,kill-10,why-5:modifier
Bruce-6,kill-10,just-9:modifier
Bruce-6,kill-10,not-8:negative
Bruce-2,asks-3,When-1:modifier
Bruce-2,asks-3,Bane-4:recipient
Bane-13,taunts-14,Bruce-15:recipient
Bruce-17,intends-18,<NULL>
<NULL>,die-36,<NULL>
Bane-5,Bane-31,will-30:modal_verb
<NULL>,give-32,permission-34:recipient
<NULL>,destroyed-15,<NULL>
<NULL>,die-36,<NULL>
Bane-5,Bane-31,will-30:modal_verb
<NULL>,give-32,permission-34:recipient
Bane-1,promises-2,Bruce-3:recipient
Gotham-26,is-27,ashes-28:recipient
<NULL>,die-36,<NULL>
Bane-5,Bane-31,will-30:modal_verb
<NULL>,give-32,permission-34:recipient
<NULL>,done-23,only-19:modifier
<NULL>,done-23,Bane-21:recipient
<NULL>,done-23,when-20:modifier
prison-13,is-14,<NULL>
prison-2,is-3,<NULL>
prison-13,is-14,<NULL>
Bane-5,claims-6,where-4:modifier
nobody-24,managed-26,Hell-18:compared_to
<NULL>,tells-7,However-1:modifier
<NULL>,tells-7,Bruce-8:recipient
child-11,managed-13,<NULL>
mercenary-7,fell-10,love-12:is_participant_in
<NULL>,born-4,child-2:recipient
daughter-13,ended-25,instead-24:modifier
daughter-13,ended-25,up-26:modifier
daughter-13,made-14,deal-16:recipient
daughter-13,made-14,Bane-22:attachment
daughter-13,made-14,herself-30:recipient
daughter-13,ended-25,instead-24:modifier
daughter-13,ended-25,up-26:modifier
<NULL>,sentenced-4,mercenary-2:recipient
<NULL>,sentenced-4,life-6:attachment
riot-4,broke-5,day-2:time
riot-4,broke-5,out-6:verb_complement
riot-4,broke-5,prison-9:is_participant_in
child-9,escaped-10,<NULL>
<NULL>,raped-3,daughter-1:recipient
child-9,escaped-10,<NULL>
<NULL>,murdered-5,daughter-1:recipient
child-5,been-8,<NULL>
Bruce-1,concludes-2,<NULL>
prisoners-10,attempt-11,<NULL>
<NULL>,climbing-20,up-21:verb_complement
<NULL>,climbing-20,shaft-23:recipient
Bruce-7,sees-8,<NULL>
<NULL>,required-39,<NULL>
prisoners-10,fail-29,<NULL>
<NULL>,using-15,rope-17:recipient
Miranda-5,arrive-8,Back-1:modifier
Miranda-5,arrive-8,meeting-14:destination
Miranda-5,arrive-8,Wayne_Enterprises-10:site
Fox-7,arrive-8,Back-1:modifier
Fox-7,arrive-8,meeting-14:destination
Fox-7,arrive-8,Wayne_Enterprises-10:site
Fox-1,enter-2,<NULL>
roomto-5,find-6,<NULL>
Bane-1,asks-5,Bane-6:recipient
<NULL>,come-13,<NULL>
Bane-6,nominate-8,member-11:recipient
Bane-1,welcomes-2,Fox-3:recipient
Fox-9,name-11,nominee-13:recipient
Fox-9,name-11,can-10:modal_verb
Fredericks-1,volunteers-7,<NULL>
men-5,take-6,down-12:verb_complement
men-5,take-6,Fredericks-11:recipient
men-5,take-6,Fox-7:recipient
men-5,take-6,Miranda-9:recipient
<NULL>,horrified-9,Fox-7:recipient
<NULL>,watching-10,parts-13:recipient
<NULL>,led-4,along-5:verb_complement
<NULL>,led-4,Bane-2:recipient
Foley-14,informs-18,Foley-19:recipient
Foley-14,bursts-15,when-13:modifier
Foley-14,bursts-15,in-16:verb_complement
Blake-1,talking-3,<NULL>
<NULL>,is-2,<NULL>
men-27,performing-29,exercise-32:recipient
orders-3,Foley-4,<NULL>
Foley-1,departs-13,<NULL>
Foley-1,apologizes-2,Gordon-4:attachment
orders-14,look-17,up-18:verb_complement
orders-14,look-17,leads-21:recipient
orders-14,look-17,up-18:verb_complement
orders-14,look-17,leads-21:recipient
orders-14,Gordon-15,instead-22:modifier
Gordon-9,holds-10,back-12:modifier
Gordon-9,holds-10,Gordon-11:recipient
orders-14,Gordon-15,instead-22:modifier
Blake-1,prepares-2,<NULL>
Foley-1,oversees-2,operation-4:recipient
officers-34,see-36,will-35:modal_verb
officers-34,see-36,again-38:modifier
officers-34,see-36,daylight-37:recipient
officers-15,walk-19,tunnel-22:modified_to
Foley-1,watches-13,<NULL>
officers-34,see-36,will-35:modal_verb
officers-34,see-36,again-38:modifier
officers-34,see-36,daylight-37:recipient
time-27,be-29,time-32:recipient
<NULL>,searching-24,men-30:destination
teams-3,assemble-4,stations-7:site
teams-3,assemble-4,Elsewhere-1:modifier
<NULL>,searching-24,men-30:destination
teams-3,descend-19,tunnels-22:modified_to
Miranda-20,notice-21,Dr-22:recipient
Miranda-20,notice-21,where-17:modifier
Fox-18,notice-21,Dr-22:recipient
Fox-18,notice-21,where-17:modifier
men-5,lead-6,Miranda-7:recipient
men-5,lead-6,Fredericks-12:recipient
men-5,lead-6,Fox-9:recipient
men-5,lead-6,tunnel-15:modified_to
men-1,arrive-2,end-6:site
wall-16,is-17,<NULL>
<NULL>,clearing-20,chamber-26:modified_to
<NULL>,clearing-20,path-22:recipient
<NULL>,cover-11,ears-13:recipient
<NULL>,clearing-20,chamber-26:modified_to
<NULL>,clearing-20,path-22:recipient
Bane-1,gives-2,nod-4:recipient
<NULL>,audible-10,cops-12:attachment
<NULL>,searching-13,tunnels-14:recipient
<NULL>,searching-13,city-18:is_participant_in
<NULL>,searching-13,elsewhere-15:modifier
explosion-2,echoes-3,<NULL>
orders-6,Fox-7,chamber-3:is_behind
Fox-1,refuses-2,so-4:dependent
<NULL>,Fredericks-14,head-16:recipient
<NULL>,turn-20,<NULL>
Barsad-9,put-12,hands-14:recipient
Fox-11,put-12,hands-14:recipient
Miranda-2,pleads-3,<NULL>
<NULL>,Bane-1,then-2:modifier
<NULL>,Bane-1,orders-3:recipient
men-6,take-8,members-12:recipient
men-6,take-8,surface-16:attachment
men-6,take-8,back-13:verb_complement
men-17,done-19,unit-8:is_participant_in
men-17,done-19,construction-20:recipient
plants-14,done-19,unit-8:is_participant_in
plants-14,done-19,construction-20:recipient
Gordon-10,tells-13,Blake-14:recipient
Blake-1,talking-3,<NULL>
Blake-1,pulls-3,then-2:modifier
Blake-1,pulls-3,plant-8:attachment
Blake-1,pulls-3,up-4:verb_complement
<NULL>,Dr-6,plant-4:is_participant_in
Pavel-1,completes-2,work-5:recipient
<NULL>,remove-7,core-11:recipient
<NULL>,Bane-1,<NULL>
core-11,Dr-14,<NULL>
objects-2,cause-13,core-14:recipient
objects-2,render-8,will-7:modal_verb
<NULL>,removing-4,core-6:recipient
family-3,cooperate-8,not-7:negative
Blake-9,recognizes-10,<NULL>
<NULL>,getting-27,closer-28:modifier
<NULL>,getting-27,raid-35:prep_during
truck-22,prevented-23,police-25:recipient
Pavel-2,walks-3,<NULL>
Blake-1,mentions-2,<NULL>
<NULL>,allowed-7,not-6:negative
<NULL>,allowed-7,Blake-4:recipient
colleague-7,tries-8,<NULL>
Blake-1,twists-2,arm-6:recipient
Blake-1,shoots-8,Blake-9:recipient
Blake-13,fires-14,gun-17:recipient
driver-2,grabs-3,Blake-4:recipient
bullet-2,hits-8,driver-10:recipient
bullet-2,ricochets-3,off-4:verb_complement
bullet-2,ricochets-3,barrel-6:recipient
Blake-1,tries-2,<NULL>
man-21,died-23,<NULL>
it-16,is-17,<NULL>
<NULL>,reveal-8,<NULL>
Blake-10,working-12,on-13:verb_complement
Blake-10,working-12,what-9:recipient
<NULL>,disgusted-3,Blake-1:recipient
Blake-1,tosses-12,away-16:modifier
Blake-1,tosses-12,pistol-15:recipient
Blake-2,realizes-26,<NULL>
<NULL>,using-28,crews-32:recipient
Blake-2,leaves-10,message-12:recipient
Blake-2,gets-3,When-1:modifier
Blake-10,warns-17,Foley-18:recipient
cops-21,head-25,trap-28:modified_to
<NULL>,are-22,<NULL>
Blake-10,gets-11,<NULL>
Blake-2,drives-3,<NULL>
Foley-1,yells-3,commanders-7:attachment
Foley-1,yells-3,immediately-2:modifier
mayor-4,shows-5,up-6:verb_complement
mayor-4,shows-5,Meanwhile-1:modifier
mayor-4,shows-5,Heinz_Field-8:site
<NULL>,heading-16,underground-17:modifier
<NULL>,asking-12,cops-15:location_of
<NULL>,asking-12,mayor-13:recipient
Blake-24,suggested-25,Foley-27:attachment
mayor-1,heads-2,box-7:attachment
<NULL>,breaking-17,in-18:verb_complement
boy-36,sings-37,anthem-40:recipient
Bane-7,arrive-12,stadium-15:site
men-11,arrive-12,stadium-15:site
Bane-7,take-25,up-26:verb_complement
Bane-7,take-25,positions-27:recipient
cops-2,search-3,tunnels-5:recipient
<NULL>,carrying-5,detonators-6:recipient
<NULL>,seen-10,players-8:recipient
<NULL>,seen-10,anthem-4:prep_during
<NULL>,seen-10,ready-12:dependent
<NULL>,take-14,field-16:recipient
<NULL>,'s-13,<NULL>
Bane-9,comments-10,<NULL>
Bane-2,catches-3,When-1:modifier
Bane-2,catches-3,singing-7:recipient
Ravenstahl-10,kicks-11,end-3:site
Ravenstahl-10,kicks-11,off-12:verb_complement
games-6,presses-9,<NULL>
comments-2,Let-4,<NULL>
games-6,presses-9,<NULL>
games-6,begin-7,button-11:recipient
officers-13,hear-14,booms-15:recipient
officers-13,hear-14,when-12:modifier
officers-10,stop-11,simultaneously-5:modifier
officers-10,stop-11,tunnels-8:is_participant_in
events-3,occur-4,<NULL>
<NULL>,trapping-24,them-25:recipient
<NULL>,trapping-24,underground-26:modifier
officers-2,trying-4,<NULL>
<NULL>,destroying-10,buildings-11:recipient
<NULL>,destroying-10,infrastructure-13:recipient
<NULL>,destroying-10,alike-14:modifier
series-2,rip-6,<NULL>
<NULL>,leading-2,up-3:verb_complement
<NULL>,leading-2,city-6:attachment
explosives-20,destroyed-16,Bridges-1:recipient
street-13,blow-16,up-17:verb_complement
street-13,starts-14,street-6:time
street-13,starts-14,when-11:modifier
Blake-1,driving-3,down-4:verb_complement
Blake-1,driving-3,street-6:recipient
<NULL>,tossed-20,vehicles-18:recipient
poles-8,collapse-9,<NULL>
buildings-4,collapse-9,<NULL>
lamps-2,collapse-9,<NULL>
<NULL>,demolished-34,<NULL>
Blake-1,manages-2,<NULL>
<NULL>,flip-23,upright-28:is_before_location
<NULL>,flip-23,once-25:modifier
<NULL>,flip-23,over-24:verb_complement
<NULL>,trapped-28,tunnels-31:is_participant_in
<NULL>,trapped-28,cop-23:recipient
Blake-2,comes-3,senses-7:attachment
Blake-9,gets-10,<NULL>
radio-13,confirms-18,predictions-21:recipient
Bane-16,assassinate-20,Gordon-21:recipient
Bane-16,try-18,will-17:modal_verb
cop-7,realizes-14,<NULL>
Blake-2,realizes-3,<NULL>
Bane-16,assassinate-20,Gordon-21:recipient
Bane-16,try-18,will-17:modal_verb
cop-7,realizes-14,<NULL>
<NULL>,stuck-9,there-11:modifier
<NULL>,stuck-9,cop-7:recipient
<NULL>,demolished-8,Unfortunately-1:modifier
<NULL>,demolished-8,car-5:recipient
Blake-6,grabs-7,trunk-12:raw_material
Blake-6,grabs-7,shotgun-9:recipient
Blake-6,commandeers-19,motorist-25:raw_material
Blake-6,commandeers-19,SUV-21:recipient
<NULL>,arrive-6,hospital-9:site
<NULL>,take-20,cover-21:recipient
<NULL>,causing-15,patients-16:recipient
<NULL>,causing-15,guards-18:recipient
<NULL>,take-20,cover-21:recipient
They-6,submachine-7,guns-8:recipient
<NULL>,take-20,cover-21:recipient
<NULL>,causing-15,patients-16:recipient
<NULL>,causing-15,guards-18:recipient
<NULL>,take-20,cover-21:recipient
They-1,fire-2,bursts-4:recipient
<NULL>,take-20,cover-21:recipient
<NULL>,causing-15,patients-16:recipient
<NULL>,causing-15,guards-18:recipient
<NULL>,take-20,cover-21:recipient
They-10,enter-11,lobby-13:recipient
hospital-20,switches-21,lighting-24:attachment
power-15,goes-16,out-17:verb_complement
power-15,goes-16,when-13:modifier
Gordon-7,is-8,presence-12:recipient
They-2,search-3,hospital-5:recipient
Gordon-1,climbs-2,bed-7:object
Blake-3,runs-9,<NULL>
Blake-3,screeches-4,halt-7:attachment
Blake-7,hears-8,gunshots-9:recipient
Blake-2,searches-3,corridor-5:recipient
Blake-1,runs-2,room-6:attachment
Blake-1,draws-8,shotgun-11:recipient
Blake-1,kicks-14,down-15:verb_complement
Blake-1,kicks-14,door-17:recipient
Gordon-22,killed-25,already-24:modifier
Gordon-22,killed-25,henchmen-28:recipient
Blake-1,has-3,only-2:modifier
Blake-1,has-3,second-5:recipient
Gordon-10,puts-11,back-16:attachment
Gordon-10,puts-11,pistol-13:recipient
<NULL>,register-7,<NULL>
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
<NULL>,swallow-32,<NULL>
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
Ward-38,manages-41,<NULL>
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
Ward-38,run-43,zone-49:attachment
Ward-38,run-43,ball-45:recipient
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
Hines_Ward-6,running-8,field-13:along
Hines_Ward-6,running-8,ball-10:recipient
Hines_Ward-6,running-8,Heinz_Field-2:site
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
<NULL>,swallow-32,<NULL>
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
Ward-38,manages-41,<NULL>
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
Ward-38,run-43,zone-49:attachment
Ward-38,run-43,ball-45:recipient
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
<NULL>,collapse-30,players-34:recipient
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
<NULL>,swallow-32,<NULL>
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
Ward-38,manages-41,<NULL>
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
Ward-59,looks-60,Ward-62:support
Ward-59,looks-60,destruction-57:time
Ward-59,looks-60,when-58:modifier
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
Ward-38,run-43,zone-49:attachment
Ward-38,run-43,ball-45:recipient
<NULL>,noticing-55,destruction-57:recipient
<NULL>,noticing-55,only-54:modifier
explosions-15,go-16,field-13:time
explosions-15,go-16,off-17:verb_complement
explosions-15,go-16,columns-21:is_participant_in
explosions-15,go-16,when-14:modifier
bomb-3,goes-4,off-5:verb_complement
bomb-3,goes-4,box-10:is_participant_in
mercenaries-24,march-25,remains-28:prep_onto
men-8,storm-9,bleachers-11:recipient
debris-3,settles-4,<NULL>
Bane-1,declares-2,crowd-5:attachment
Bane-7,come-13,<NULL>
men-11,come-13,<NULL>
<NULL>,calling-8,core-9:recipient
<NULL>,calling-8,instrument-11:recipient
Bane-1,displays-2,core-6:recipient
<NULL>,getting-2,Dr-3:recipient
Pavel-5,is-6,person-9:recipient
Pavel-1,breaks-23,then-22:modifier
Pavel-1,breaks-23,Dr-24:recipient
<NULL>,admit-3,<NULL>
Pavel-1,breaks-23,then-22:modifier
Pavel-1,breaks-23,Dr-24:recipient
person-9,knows-11,<NULL>
Pavel-1,'s-2,<NULL>
Bane-1,declares-3,also-2:modifier
Bane-5,left-7,citizen-9:recipient
detonator-14,trigger-17,bomb-19:recipient
detonator-14,trigger-17,will-16:modal_verb
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
<NULL>,forcing-26,forces-29:recipient
<NULL>,forcing-26,thus-25:modifier
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
forces-29,guard-31,city-33:recipient
government-5,forces-6,<NULL>
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
<NULL>,forcing-26,forces-29:recipient
<NULL>,forcing-26,thus-25:modifier
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
forces-29,guard-31,city-33:recipient
Bane-1,threatens-3,also-2:modifier
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
<NULL>,forcing-26,forces-29:recipient
<NULL>,forcing-26,thus-25:modifier
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
forces-29,stop-35,anybody-36:recipient
<NULL>,leaving-38,<NULL>
forces-29,guard-31,city-33:recipient
Bane-18,detonate-20,weapon-23:recipient
Bane-18,detonate-20,will-19:modal_verb
means-8,provide-10,supplies-13:recipient
means-8,provide-10,citizens-17:attachment
means-8,provide-10,food-11:recipient
Queensboro_Bridge-2,is-3,<NULL>
Bane-30,shoot-32,will-31:modal_verb
Bane-30,shoot-32,Bane-33:recipient
Bane-35,shows-36,face-39:recipient
Blake-2,drives-3,apartment-7:attachment
Gordon-11,says-12,<NULL>
Blake-24,discourages-25,Blake-26:recipient
Blake-13,has-14,<NULL>
Act-25,gave-28,power-29:recipient
Act-25,gave-28,police-32:attachment
Bane-5,proceeds-6,day-3:time
Bane-5,proceeds-6,Prison-9:attachment
Bane-1,declares-14,<NULL>
himself-28,was-29,murderer-31:recipient
man-21,drew-23,Act-27:recipient
man-21,drew-23,up-24:verb_complement
Bane-1,reads-2,out-3:verb_complement
Bane-1,reads-2,speech-6:recipient
<NULL>,holding-21,<NULL>
<NULL>,holding-21,<NULL>
courts-23,presided-24,over-25:verb_complement
courts-23,presided-24,Dr-27:time_between
Bane-9,calls-10,what-8:recipient
Bane-9,calls-10,law-12:recipient
<NULL>,holding-21,<NULL>
courts-23,presided-24,over-25:verb_complement
courts-23,presided-24,Dr-27:time_between
prisoners-2,enforce-7,together-6:modifier
courts-23,presided-24,over-25:verb_complement
courts-23,presided-24,Dr-27:time_between
<NULL>,holding-21,<NULL>
courts-23,presided-24,over-25:verb_complement
courts-23,presided-24,Dr-27:time_between
<NULL>,forcing-13,elite-15:recipient
<NULL>,forcing-13,homes-19:object
prisoners-2,join-3,Bane-4:recipient
anyone-21,making-22,crossing-24:recipient
anyone-21,making-22,where-15:modifier
cracks-18,making-22,crossing-24:recipient
cracks-18,making-22,where-15:modifier
Exile-1,means-2,<NULL>
Death-1,be-5,thing-8:recipient
<NULL>,disguised-36,command-43:prep_under
Army-29,slips-30,team-33:recipient
Army-29,slips-30,Gotham-35:modified_to
exile-20,sentenced-16,thing-14:recipient
exile-20,sentenced-16,death-18:attachment
<NULL>,disguised-36,command-43:prep_under
Army-29,slips-30,team-33:recipient
Army-29,slips-30,Gotham-35:modified_to
<NULL>,revealed-3,days-23:time
<NULL>,revealed-3,Death-1:recipient
<NULL>,revealed-3,siege-26:modified_to
<NULL>,disguised-36,command-43:prep_under
Army-29,slips-30,team-33:recipient
Army-29,slips-30,Gotham-35:modified_to
<NULL>,choose-13,<NULL>
<NULL>,trapped-19,underground-20:modifier
<NULL>,being-18,<NULL>
cops-13,escape-17,<NULL>
cops-13,managed-15,<NULL>
workers-1,meet-2,<NULL>
<NULL>,carries-19,weapon-22:recipient
<NULL>,surviving-8,<NULL>
<NULL>,carries-19,weapon-22:recipient
soldiers-2,begin-10,<NULL>
Blake-4,begin-10,<NULL>
cops-9,begin-10,<NULL>
<NULL>,are-11,<NULL>
<NULL>,driven-13,continuously-17:modifier
<NULL>,driven-13,trucks-10:recipient
<NULL>,being-12,<NULL>
<NULL>,avoid-2,detection-3:recipient
<NULL>,sheltered-17,Miranda-15:recipient
<NULL>,sheltered-17,Fox-13:recipient
Blake-1,takes-2,office-11:attachment
Blake-1,takes-2,men-7:recipient
<NULL>,molded-14,bomb-12:recipient
<NULL>,molded-14,reactor-9:compared_to
Miranda-1,takes-2,responsibility-3:recipient
Miranda-1,takes-2,creation-6:destination
cells-8,deteriorate-9,<NULL>
reactor-12,become-14,unstable-16:object
reactor-12,become-14,will-13:modal_verb
what-21,happens-22,<NULL>
Fox-1,explains-2,<NULL>
bomb-25,go-27,will-26:modal_verb
bomb-25,go-27,off-28:verb_complement
bomb-25,go-27,weeks-31:is_participant_in
Fox-1,admits-2,<NULL>
Fox-4,reconnect-6,reactor-11:attachment
Fox-4,reconnect-6,core-8:recipient
Fox-4,reconnect-6,could-5:modal_verb
<NULL>,restabilize-13,core-14:recipient
orders-10,Blake-11,<NULL>
Blake-1,prepares-2,<NULL>
Blake-19,goes-20,<NULL>
Jones-15,leaving-17,hideout-19:recipient
Jones-15,leaving-17,just-13:modifier
someone-3,betrayed-5,team-10:recipient
someone-3,betrayed-5,Unfortunately-1:modifier
group-22,ambush-27,fire-31:recipient
henchman-19,captured-16,Fox-14:recipient
<NULL>,slipping-7,door-11:recipient
<NULL>,slipping-7,out-8:verb_complement
henchman-19,captured-16,Fox-14:recipient
Blake-1,escape-5,quickly-4:modifier
Miranda-3,escape-5,quickly-4:modifier
Jones-1,draws-4,weapons-6:recipient
<NULL>,prove-13,match-15:recipient
<NULL>,shot-24,Fox-22:recipient
Jones-1,begin-8,<NULL>
Jones-10,falls-17,<NULL>
Jones-10,falls-17,<NULL>
<NULL>,shot-12,chest-15:is_participant_in
<NULL>,shot-12,Jones-10:recipient
breaks-3,cover-4,When-1:modifier
Jones-10,falls-17,<NULL>
Jones-10,falls-17,<NULL>
<NULL>,shot-12,chest-15:is_participant_in
<NULL>,shot-12,Jones-10:recipient
breaks-3,tries-6,<NULL>
Bane-8,appears-9,<NULL>
Jones-2,lies-3,<NULL>
Jones-7,talk-9,can-8:modal_verb
Jones-7,talk-9,commander-13:attachment
Jones-3,die-5,will-4:modal_verb
Jones-1,says-2,<NULL>
I-5,am-6,<NULL>
Bane-3,crushes-14,neck-17:recipient
Bane-3,captain-11,<NULL>
<NULL>,Bane-1,<NULL>
<NULL>,set-22,prison-25:is_participant_in
Bruce-5,watching-14,havoc-16:recipient
time-3,watching-14,havoc-16:recipient
<NULL>,holed-7,prison-11:is_participant_in
<NULL>,holed-7,up-8:verb_complement
Bruce-1,gets-2,there-5:modifier
Bruce-1,gets-2,doctor-4:recipient
fight-15,dislocated-19,partially-18:modifier
fight-15,dislocated-19,vertebrae-22:recipient
doctor-2,pushes-12,place-17:modified_to
doctor-2,pushes-12,back-15:verb_complement
doctor-2,pushes-12,vertebrae-14:recipient
doctor-2,puts-3,Bruce-4:recipient
doctor-2,puts-3,form-8:modified_to
doctor-2,tells-3,Bruce-4:recipient
Ra-10,proclaims-14,immortality-17:recipient
anger-12,builds-13,<NULL>
<NULL>,determined-18,Bruce-16:recipient
days-3,wear-4,on-5:verb_complement
days-3,wear-4,prison-8:is_participant_in
